block,cost,SHA_COMPRESS,SHA_EXTEND,KECCAK_PERMUTE,POSEIDON2_PERMUTE,ED_ADD,ED_DECOMPRESS,SECP256K1_ADD,SECP256K1_DOUBLE,SECP256K1_DECOMPRESS,SECP256R1_ADD,SECP256R1_DOUBLE,SECP256R1_DECOMPRESS,BN254_ADD,BN254_DOUBLE,BLS12381_ADD,BLS12381_DOUBLE,BLS12381_DECOMPRESS,BN254_FP_ADD,BN254_FP_SUB,BN254_FP_MUL,BN254_FP2_ADD,BN254_FP2_SUB,BN254_FP2_MUL,BLS12381_FP_ADD,BLS12381_FP_SUB,BLS12381_FP_MUL,BLS12381_FP2_ADD,BLS12381_FP2_SUB,BLS12381_FP2_MUL,SECP256K1_FP_ADD,SECP256K1_FP_SUB,SECP256K1_FP_MUL,UINT256_MUL
24000411,45051013831087213,14,14,134008,0,0,0,77923,156160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000412,6214040947651003,23,23,23902,0,0,0,19936,40448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000413,17552900443431008,14,14,65548,0,0,0,61051,122368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000414,49626528102727782,31,31,125186,0,0,0,61943,124416,0,0,0,0,0,0,0,0,2,74109,0,0,22624,0,29805,54103,0,0,30533,0,15023,0,0,0,6
24000415,33392963478664978,14,14,79903,0,0,0,44187,89088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000416,46859165531127580,14,14,111694,0,0,0,48475,97280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000417,43955403907563211,19,19,96428,0,0,0,48102,96768,0,0,0,0,0,0,0,0,0,48498,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,2
24000418,31940874380542031,23,23,67371,0,0,0,36947,73728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000419,33051312479995557,14,14,71502,0,0,0,35357,70656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000420,36598187045822420,51,51,93923,0,0,0,61449,123392,0,0,0,0,0,0,0,0,0,201100,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,19
24000421,79623663926965206,14,14,96929,0,0,0,20692,41472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000422,80223609332468227,14,14,102710,0,0,0,24296,48640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000423,31878891031200689,14,14,92095,0,0,0,83770,167936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000424,19003643254331520,27,27,66003,0,0,0,46538,92672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000425,5626629151291208,14,14,19198,0,0,0,22894,46080,0,0,0,0,0,0,0,0,0,46912,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,2
24000426,54685646348045234,14,14,146954,0,0,0,100918,202752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000427,7332807294560034,14,14,29079,0,0,0,26198,52736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000428,14758378090043436,14,14,54395,0,0,0,47812,95744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000429,38934530407962445,22,22,99284,0,0,0,45989,92672,0,0,0,0,0,0,0,0,0,47808,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,2
24000430,18641820288597639,14,14,64750,0,0,0,58682,118272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000431,35762134220563610,32,32,97605,0,0,0,85356,171008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000432,32896675017273290,14,14,69215,0,0,0,62464,124928,0,0,0,0,0,0,0,0,0,167686,0,0,40202,0,47844,0,0,0,0,0,0,0,0,0,9
24000433,5535620161351760,14,14,21040,0,0,0,19344,38912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000434,54834493575183886,18,18,158858,0,0,0,110384,221184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000435,80185876471011900,14,14,99331,0,0,0,15657,31232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000436,18416903276073855,23,23,67833,0,0,0,62917,125952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000437,43727644697775987,73,73,110705,0,0,0,61334,122880,0,0,0,0,0,0,0,0,0,219263,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,21
24000438,80372657926821117,14,14,101537,0,0,0,17694,35840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000439,6916765987210255,14,14,26107,0,0,0,32188,64512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000440,39805943852070291,14,14,97815,0,0,0,60523,121344,0,0,0,0,0,0,0,0,0,118863,0,0,22624,0,29805,0,0,0,0,0,0,0,0,0,7
24000441,24457002229393226,80,80,61334,0,0,0,41239,82944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000442,64675727888547685,46,46,125305,0,0,0,59990,120320,0,0,0,0,0,0,0,0,2,602069,0,0,17578,0,18039,54103,0,0,30533,0,15023,0,0,0,69
24000443,71858552268421454,14,14,103806,0,0,0,37050,74240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
